full ID,dam,sire
C11-0910,C10-0105-,C10-0203-
C11-1009,C10-0203-,C10-0105-
C11-1011-,C10-0203-,C10-1716-
C11-1110,C10-1716-,C10-0203-
C11-1112,C10-1716-,C10-1009-
C11-1211-,C10-1009-,C10-1716-
C11-1213,C10-1009-,C10-0402-
C11-1312,C10-0402-,C10-1009-
C11-1314,C10-0402-,C10-1413-
C11-1413-,C10-1413-,C10-0402-
C11-1415-,C10-1413-,C10-0104~
C11-1514-,C10-0104~,C10-1413-
C11-1516~,C10-0104~,C10-1617-
C11-1615-,C10-1617-,C10-0104~
C11-1617-,C10-1617-,C10-0201-
C11-1716-,C10-0201-,C10-1617-
C11-1718~,C10-0201-,C10-1516-
C11-1817,C10-1516-,C10-0201-
C11-1819,C10-1516-,C10-1615-
C11-1918,C10-1615-,C10-1516-
C11-1920,C10-1615-,C10-2006~
C11-2006,C10-2006~,C10-0908~
C11-2019~,C10-2006~,C10-1615-
C12-0102-,C11-0405-,C11-0503-
C12-0103-,C11-0405-,C11-1413-
C12-0104,C11-0405-,C11-0908-
C12-0105-,C11-0405-,C11-2006
C12-0201,C11-0503-,C11-0405-
C12-0203~,C11-0503-,C11-1413-
C12-0204-,C11-0503-,C11-0908-
C12-0205,C11-0503-,C11-2006
C12-0301-,C11-1413-,C11-0405-
C12-0302-,C11-1413-,C11-0503-
C12-0304-,C11-1413-,C11-0908-
C12-0305-,C11-1413-,C11-2006
C12-0401,C11-0908-,C11-0405-
C12-0402-,C11-0908-,C11-0503-
C12-0403,C11-0908-,C11-1413-
C12-0405,C11-0908-,C11-2006
C12-0501-,C11-2006,C11-0405-
C12-0502,C11-2006,C11-0503-
C12-0503,C11-2006,C11-1413-
C12-0504,C11-2006,C11-0908-
C12-0607-,C11-0105-,C11-1617-
C12-0620-,C11-0105-,C11-0607-
C12-0706-,C11-1617-,C11-0105-
C12-0708~,C11-1617-,C11-0504-
C12-0807~,C11-0504-,C11-1617-
C12-0809,C11-0504-,C11-1615-
C12-0908,C11-1615-,C11-0504-
C12-0910-,C11-1615-,C11-1516~
C12-1009-,C11-1516~,C11-1615-
C12-1011~,C11-1516~,C11-0204~
C12-1110~,C11-0204~,C11-1516~
